objid,specobjid,class,ra,dec,redshift,u_g,g_r,r_i,i_z
1237648720172745039,343462995445180416,GALAXY,216.038842385582,-0.97423575112365,0.1359593,2.131844,1.171131,0.4901924,0.3259792
1237648720675406233,4302190630501898240,GALAXY,137.895627540418,-0.558104491147642,0.2935847,5.290791,1.662937,0.5861015,0.4255676
1237648720675472111,4302180734897248256,GALAXY,138.025867915102,-0.500285490036251,0.4129624,1.475107,1.722528,0.75494,0.4693089
1237648720675472160,4302179910263527424,GALAXY,138.046984674554,-0.478026824716772,0.522478,0.7479458,1.257036,0.833168,0.3081512
1237648720675472220,4302180185141434368,GALAXY,138.065479486483,-0.549338483140988,0.3212457,5.705082,1.675007,0.6237183,0.4004879
1237648720675537740,4302178810751899648,GALAXY,138.209636303593,-0.586974240520368,0.6010398,0.8120003,0.9338341,0.8506126,0.5112476
1237648720675537791,4302177161484457984,GALAXY,138.075881187154,-0.604284946330558,0.5865537,0.4733658,1.891878,0.988615,0.5217533
1237648720675537844,4302179360507713536,GALAXY,138.114925910294,-0.573925692111236,0.6130374,4.130835,1.150576,0.988493,0.69664
1237648720675602692,4302166166368180224,GALAXY,138.303483956724,-0.614012768453702,0.6036237,0.2964954,3.092091,1.129951,0.4818287
1237648720675603146,4302168365391435776,GALAXY,138.326940062825,-0.571726800267743,0.6034778,3.296747,1.577003,1.152346,0.6413078
1237648720675603184,4302165616612366336,GALAXY,138.340891703003,-0.621328640725213,0.5461995,2.911615,1.448662,0.9469566,0.4306259
1237648720675603479,4302169464903063552,GALAXY,138.357014990563,-0.511933218152233,0.6044735,3.029335,1.501244,1.241295,0.4781685
1237648720675668157,4302168090513528832,GALAXY,138.440497639056,-0.615676340261494,0.2013926,1.085398,0.06496429,0.1631031,-0.01074982
1237648720675668278,4302159569298413568,GALAXY,138.471095953028,-0.510026513943537,0.5727777,1.056261,1.351828,0.9302692,0.4345131
1237648720675668426,4302169739780970496,GALAXY,138.376513137613,-0.470990652815353,0.2971127,2.696035,1.593374,0.5597954,0.4583092
1237648720675668446,4302167265879808000,GALAXY,138.383246620636,-0.610142514440705,0.4988379,2.653368,1.687643,0.8785725,0.480669
1237648720675668557,4302167815635621888,GALAXY,138.421906942865,-0.599016316072008,0.5312899,3.643198,1.679361,1.066957,0.4276218
1237648720675668770,4302159844176320512,GALAXY,138.50777625949,-0.509523134660881,0.7467434,0.3214531,0.4012566,1.061104,0.5985413
1237648720675733885,4302159019542599680,GALAXY,138.547081117352,-0.474091779875221,0.5278341,4.167698,1.536501,1.058489,0.4130745
1237648720687661204,311903718142404608,GALAXY,165.872616192536,-0.588658434341268,0.08400386,1.255457,0.5715599,0.3396549,0.2049942
1237648720687661218,311902893508683776,GALAXY,165.889855640707,-0.598185046987646,0.084067,1.16184,0.5271912,0.3583698,0.1715755
1237648720687661219,311902618630776832,GALAXY,165.889378044669,-0.614593634766985,0.08387157,1.436123,0.7863483,0.4100456,0.3340015
1237648720687726930,311904542776125440,GALAXY,165.918822803716,-0.513875795160896,0.2578253,0.9578857,0.567625,0.2679691,0.1550922
1237648720687792292,311894372293568512,GALAXY,166.108115344137,-0.512289808919324,0.06509142,1.735071,0.8298168,0.4058542,0.3200531
1237648720687792303,311892997904033792,GALAXY,166.111727123492,-0.536597193636519,0.06493402,1.23328,0.5031033,0.3202362,0.1688194
1237648720687792312,311896021561010176,GALAXY,166.130569612315,-0.468609916181417,0.04364219,1.1584,0.5174913,0.3129911,0.2366848
1237648720687792393,311891623514499072,GALAXY,166.0691212726,-0.581919929688157,0.09226175,1.276215,0.5223026,0.3101749,0.2112465
1237648720687923331,311885301322639360,GALAXY,166.400227567568,-0.438239873862643,0.1127173,1.933462,1.026192,0.4127769,0.3906145
1237648720687923340,311882002787756032,GALAXY,166.415196218766,-0.494605159529875,0.1123324,1.709618,0.9966011,0.5419464,0.4015026
1237648720691462822,4324703414028359680,GALAXY,174.551518499447,-0.556112193932861,0.5860702,1.206797,1.067867,0.8129463,0.4670506
1237646798138049760,5390966357805520896,GALAXY,122.348727982039,0.91478751449079,0.5025893,0.7087555,1.650881,0.8964367,0.2898426
1237648703525684131,4512736109101602816,GALAXY,234.441022622153,-0.806747516398867,0.4076943,3.556732,1.856771,0.631361,0.4706497
1237648703525749898,4512737208613230592,GALAXY,234.560758662263,-0.747051112352568,0.6348928,1.854094,1.841221,1.323553,0.5392284
1237648703525815040,4512725938619045888,GALAXY,234.705495272403,-0.76704458361477,0.4467359,1.97307,1.889032,0.8822422,0.4903717
1237648703525815066,4512727038130673664,GALAXY,234.717563997615,-0.740231196938964,0.6246282,3.916227,1.588346,1.242243,0.6760426
1237648703525815234,4512713843991140352,GALAXY,234.785489603146,-0.784180727569297,0.6593999,3.731041,0.891201,0.813448,0.4162788
1237648703525815491,4512726488374859776,GALAXY,234.746168051385,-0.78225113625745,0.4612347,3.46703,1.96463,0.8709812,0.3190765
1237648703525880516,4512714943502768128,GALAXY,234.878287059551,-0.737671040967628,0.5384154,3.85062,1.683512,0.9944935,0.4749641
1237648703525946404,4512703398630676480,GALAXY,234.975172434172,-0.794177756265231,0.6812464,4.526308,2.272295,1.276642,0.3895702
1237648704055018799,4531889876434704384,GALAXY,217.276225260618,-0.244034207477612,0.6260872,2.591873,1.871738,1.138426,0.5563202
1237648704591954862,4531887402533541888,GALAXY,217.421477628034,0.163642495458087,0.5414522,1.464918,1.58894,0.8591156,0.5936337
1237648704592020120,4531886577899821056,GALAXY,217.479651130519,0.137631939542575,0.4668945,1.669788,1.642464,0.8044605,0.5340176
