objid,specobjid,class,ra,dec,redshift,u_g,g_r,r_i,i_z
1237676441459491490,8031309952621762560,GALAXY,4.53926952353527,31.1823163357119,0.5200649,2.235882,1.837185,1.153511,0.6554661
1237676441459491659,8031309677743855616,GALAXY,4.59926949143505,31.2465000021273,0.3007735,2.457228,1.73209,0.7094574,0.2697926
1237676441459556976,8031309402865948672,GALAXY,4.65261079560167,31.2914440976031,0.5234991,0.8918591,1.518513,0.9926186,0.26688
1237676441459556995,8031308853110134784,GALAXY,4.62449940048083,31.3138458420992,0.5865704,0.4700603,1.303883,1.002651,0.536768
1237676441996296561,8031293734825252864,GALAXY,4.0875923207513,31.3732082352815,0.1662484,2.617125,1.289034,0.5358372,0.390873
1237676441996296834,8031283014586882048,GALAXY,4.02849362691842,31.307739258291,0.4516944,1.222355,1.20974,0.7487202,0.5034618
1237676441996296998,8031294834336880640,GALAXY,4.1826254356522,31.3094300097769,0.6431513,0.835825,0.8947449,0.7513771,0.1762257
1237676441996362041,8031295933848508416,GALAXY,4.0863544048338,31.4534043265226,0.09906378,1.941303,1.061348,0.5153885,0.3884525
1237676441996427656,8031308578232227840,GALAXY,4.35902635689865,31.5188775229465,0.3206437,2.666306,1.881807,0.6447983,0.4440308
1237680309620048661,8031281915075254272,GALAXY,3.9318755201532,31.4435310474386,0.4341319,1.532591,1.737848,0.8080177,0.4839706
1237680309620048680,8031283564342695936,GALAXY,3.95062240083166,31.2772712793693,0.5089527,0.4505825,1.064873,0.7809277,0.2397079
1237680309620048754,8031282464831068160,GALAXY,3.98411505108601,31.3961920565576,0.5871859,2.92268,1.1336,0.8751564,0.3897972
1237680309620179779,8031292910191532032,GALAXY,4.23234946248283,31.277095860794,0.5750254,1.995367,1.573582,1.298197,0.6438408
1237680309620179845,8031310502377576448,GALAXY,4.28084502189643,31.2958530514148,0.5729371,2.278507,2.058949,1.306471,0.3584614
1237680310156984934,8031292085557811200,GALAXY,4.06714985285123,31.6705782944182,0.292852,5.524323,1.651577,0.6437149,0.4098148
1237680333252198790,8031279441174091776,GALAXY,3.73415179873393,30.4315530809454,0.1411808,1.870096,1.106413,0.5472736,0.4226971
1237680333252264571,8031287412633393152,GALAXY,3.84224031991124,30.6127282341196,0.6371205,0.5920792,1.339258,0.8422966,0.3963318
1237680333252264573,8031289061900834816,GALAXY,3.84447284698138,30.4725963799549,0.5322763,0.8026657,1.708267,1.004723,0.5842495
1237680333252264633,8031289611656648704,GALAXY,3.87024501351118,30.4282236233334,0.5300708,0.5952644,1.764875,1.160103,0.5808792
1237680333252330234,8031300057017112576,GALAXY,4.08351730894935,30.5716631966787,0.5288034,2.042704,1.974239,1.038773,0.6316605
1237680333252330255,8031300606772926464,GALAXY,4.09414807706935,30.4367653250287,0.512957,1.4256,1.862484,0.9799423,0.4826469
