#Table1
u,g,r,i,z,class,z1,zerr
17.50487,16.13549,15.54855,15.30718,15.18766,STAR,-0.0008314213,1.136044E-05
19.47071,18.56005,18.24436,18.14369,18.05898,STAR,0.0004876059,2.641265E-05
18.00051,16.83727,16.95045,17.06897,17.16233,STAR,-4.22776E-05,7.902393E-06
17.0414,15.96768,15.59743,15.45741,15.41329,STAR,-0.0002726675,8.139437E-06
18.85881,17.77351,17.61983,17.60891,17.65318,STAR,-0.000613292,1.745104E-05
17.82559,16.11654,15.41602,15.11671,14.95089,STAR,-0.0005763315,1.239832E-05
18.95033,17.81183,17.28865,17.06434,16.94249,STAR,-0.0008928935,2.159905E-05
19.54919,18.3981,18.23667,18.2301,18.18867,STAR,-0.0007118007,2.064873E-05
17.37759,16.21189,16.37901,16.52339,16.58174,STAR,-0.0004489738,5.027815E-06
18.85359,15.99031,14.75938,14.3057,14.02261,STAR,1.869896E-05,7.467204E-06
17.64949,16.40855,15.91223,15.72577,15.63378,STAR,-0.000105264,9.094113E-06
18.31913,15.94515,15.02946,14.69196,14.48571,STAR,-5.400829E-05,7.561107E-06
18.79382,17.83142,17.51977,17.38572,17.35992,STAR,-0.0003307497,2.017925E-05
16.61254,15.25951,15.31293,15.38489,15.39893,STAR,1.401686E-05,7.867666E-06
19.41134,17.19548,16.31927,16.00602,15.8244,STAR,-5.479312E-05,8.756348E-06
19.06984,17.92881,17.42299,17.10858,16.93407,GALAXY,0.07353891,5.832826E-06
19.40792,17.57799,16.5872,16.0743,15.84843,GALAXY,0.0522001,8.22386E-06
18.70621,19.1293,19.6302,19.96624,20.54596,STAR,-0.001347479,0.000345766
19.21701,17.43765,16.6644,16.29573,16.15339,STAR,-4.826592E-05,7.289399E-06
19.35826,17.64581,16.88051,16.58475,16.39322,STAR,-0.0002123868,1.439977E-05
17.02663,15.97008,15.69327,15.60042,15.59392,STAR,-2.58547E-05,8.120293E-06
19.26061,17.91047,17.35746,17.12939,17.00791,STAR,7.699271E-05,9.44584E-06
18.53229,15.31324,14.03901,15.45979,13.01573,STAR,9.817199E-05,8.640513E-06
19.02597,17.57774,16.96848,16.73458,16.59277,STAR,0.0001299035,8.245829E-06
19.49989,16.17886,14.74499,14.15151,13.7108,STAR,4.947498E-05,7.572942E-06
19.13988,17.40324,16.67177,16.39907,16.22792,STAR,-8.554519E-05,8.995722E-06
18.65986,16.7262,15.82086,15.37481,15.02575,GALAXY,0.05027183,1.293247E-05
16.05869,14.43334,14.13605,14.04388,13.97158,STAR,1.549405E-05,3.432014E-06
15.28676,14.01911,13.85553,13.84223,13.86588,STAR,-2.283097E-05,4.84709E-06
19.12708,16.91715,15.82306,15.32179,15.00158,STAR,-2.800359E-05,7.461985E-06
